customer_id,first_name,last_name,email,phone,city,age,registration_date
CUST00001,Marek,Mazur,marek.mazur0@gmail.com,NULL,,69,
CUST00002,Anna,Kowalski,anna.kowalski1@gmail.com,48511366760,Poznań,30,29-07-2022
CUST00003,Jan,Zieliński,jan.zieliński2@wp.pl,NULL,NULL,,NULL
CUST00004,Marek,Wójcik,marek.wójcik3@wp.pl,,Warszawa,NULL,
CUST00005,Piotr,Zieliński,piotr.zieliński4@example.com,48815003582,Gdańsk,unknown,NULL
CUST00006,Magdalena,Wiśniewski,magdalena.wiśniewski5@example.com,,NULL,unknown,NULL
CUST00007,Piotr,Kaczmarek,piotr.kaczmarek6@example.com,,Kraków,46,07-01-2021
CUST00008,Tomasz,Wójcik,tomasz.wójcik7@gmail.com,NULL,NULL,,2016-11-30
CUST00009,Jan,Wiśniewski,jan.wiśniewski8@onet.pl,,Warszawa,,21-08-2022
CUST00010,Agnieszka,Kaczmarek,agnieszka.kaczmarek9@example.com,NULL,Gdańsk,NULL,
CUST00011,Katarzyna,Kaczmarek,katarzyna.kaczmarek10@wp.pl,48858357356,Poznań,31,10-09-2015
CUST00012,Marek,Nowak,marek.nowak11@gmail.com,,Łódź,unknown,17-01-2016
CUST00013,Agnieszka,Wójcik,agnieszka.wójcik12@example.com,NULL,Poznań,unknown,2015-11-28
CUST00014,Agnieszka,Wiśniewski,agnieszka.wiśniewski13@onet.pl,,NULL,,
CUST00015,Agnieszka,Kowalski,agnieszka.kowalski14@gmail.com,,NULL,84,05-03-2016
CUST00016,Piotr,Nowak,piotr.nowak15@onet.pl,,Warszawa,53,
CUST00017,Piotr,Mazur,piotr.mazur16@example.com,,Gdańsk,,NULL
CUST00018,Marek,Nowak,marek.nowak17@gmail.com,NULL,,,
CUST00019,Anna,Wójcik,anna.wójcik18@onet.pl,,Łódź,NULL,05-11-2016
CUST00020,Jan,Wiśniewski,jan.wiśniewski19@onet.pl,NULL,Łódź,NULL,29-11-2019
CUST00021,Tomasz,Kaczmarek,tomasz.kaczmarek20@onet.pl,48657011758,,unknown,NULL
CUST00022,Jan,Mazur,jan.mazur21@onet.pl,48501141237,Łódź,21,NULL
CUST00023,Jan,Kaczmarek,jan.kaczmarek22@example.com,48719071732,Poznań,87,2023-03-26
